feature_index,importance_mean,importance_std
228,0.0007666439169504935,0.0009842744102891603
192,0.0007637961303525009,0.008860879813451029
114,0.0007205698181922849,0.00447366570159641
41,0.0005138794578706085,0.011018443711661927
241,0.00048790643085291354,0.003338737306397449
131,0.00047845534101496055,0.005422014127231949
183,0.00046870662745109314,0.0032676452666784814
94,0.0003836839511156931,0.006165555081412656
176,0.00032276469288752276,0.003074504309161433
89,0.0003127065206543711,0.004664529545603582
172,0.0002815440316503326,0.002019995717864282
68,0.00020983016888451167,0.004587729688982045
100,0.00020676038840594101,0.003427382977048911
177,0.00017957239432568882,0.005935355262102283
76,0.00014011893006845577,0.0009413263324843585
27,0.0001398257610817799,0.0027366194603940515
20,9.15145639096282e-05,0.0031117020247635623
142,7.275407794577471e-05,0.007717482068511646
39,5.0408574371002544e-05,0.004685903673434044
129,0.0,0.0
105,-2.114160129164655e-05,0.00412982832759222
29,-4.88039512429761e-05,0.00014641185372892828
135,-0.0001057195443182335,0.0050673295333716695
84,-0.0002028858085681373,0.001957448038312355
139,-0.0002100163830533741,0.0038743386282898092
191,-0.00022486498825984857,0.004321349255719647
86,-0.0002528765808733624,0.003329958715320361
239,-0.00046309872962284614,0.006228999005449376
7,-0.0006961515278404273,0.0023223685829401168
1,-0.0007141560262517554,0.003773705939270033
47,-0.0007513005333417699,0.006200587963481588
224,-0.0008150530344789297,0.006960394718487475
16,-0.0008542669913032097,0.0036956098227709953
169,-0.0008874822776820501,0.003310126637182395
14,-0.0008988516354594301,0.0037331093846085578
48,-0.0009042835720876052,0.0032432218665774657
115,-0.0009165809066459419,0.0036179164631910087
65,-0.000933726890579184,0.0011866888304395897
133,-0.0010743996115600896,0.0024407664479561895
173,-0.0012578743248705337,0.007532910859131147
210,-0.0013311578207871656,0.003776853005107901
184,-0.0013364816580804905,0.004018614050029801
196,-0.0013933565718508346,0.001976013155798874
159,-0.0015416341995242223,0.00834577077570816
5,-0.0016286617492536181,0.002824040624028
42,-0.0016343896916927725,0.0038400195870594896
24,-0.0016913968577437876,0.0030794214586842947
235,-0.0017009826983270249,0.0019544831937941725
46,-0.0017142719278544938,0.009193604416587845
83,-0.0017918130197906834,0.004690517899885204
157,-0.0018126111158299318,0.005849840391978406
77,-0.0018812220708598836,0.005624765428997891
45,-0.0019326290941093394,0.002126822861906005
101,-0.0019660072710608765,0.005628067524777653
52,-0.001988236859880943,0.00514105041048767
179,-0.0020665749760755527,0.007427897009361213
57,-0.002069134685449009,0.0010641355491946007
243,-0.0021923371484498188,0.004463778361940484
152,-0.002225356883121865,0.003156784007425627
62,-0.00226001285082465,0.0036939579069187626
79,-0.0022806455106662736,0.002717917306695384
44,-0.002369310831438115,0.003133562098597128
190,-0.0024396208951130483,0.0026499108419311347
234,-0.002484651051298847,0.004933858975926468
156,-0.0025116559528470194,0.003722550072175837
206,-0.002533358159150051,0.003973121826783983
200,-0.0025673509238517524,0.00271261746515283
127,-0.0025782692277554697,0.004747928349546635
212,-0.0026021480562443133,0.005079178682414906
189,-0.0026255273598204676,0.0037655249129799123
0,-0.0026668654886841557,0.00307627467110243
225,-0.0026827340755039507,0.0026813404792482235
237,-0.002714312378695066,0.004052993281182864
72,-0.0027342911814142333,0.003000065986931023
117,-0.002804256028919372,0.006402243082153755
147,-0.0028096750637117973,0.002605131808561085
