stage,algorithm,pca_dim,k,explained_variance,silhouette,ARI,NMI,purity
fast_screening,GMM_diag,24,10,0.62157166,0.013052004,0.023888543545278848,0.07876490114832654,0.30942334739803096
fast_screening,KMeans,24,12,0.62157166,0.07726917,0.02967635682039113,0.08879517594141349,0.30450070323488043
fast_screening,GMM_diag,24,12,0.62157166,-0.001797734,0.024566978992628052,0.08009899980901494,0.3150492264416315
fast_screening,KMeans,32,6,0.6997391,0.057692137,0.026983355187793483,0.05732085133233369,0.26933895921237694
fast_screening,GMM_diag,32,6,0.6997391,-0.007134044,0.024563720934487537,0.07231781955558558,0.31575246132208157
fast_screening,KMeans,32,7,0.6997391,0.060124226,0.029914665460209936,0.06388972950492204,0.2848101265822785
fast_screening,GMM_diag,32,7,0.6997391,-0.0025576584,0.03535982434285863,0.07386830093038171,0.3150492264416315
fast_screening,KMeans,32,8,0.6997391,0.059616163,0.024987087314112612,0.06422077647815844,0.2812939521800281
fast_screening,GMM_diag,32,8,0.6997391,-0.014035328,0.02786153313316493,0.07004260647494545,0.30239099859353025
fast_screening,KMeans,32,9,0.6997391,0.06308011,0.0327143575500393,0.07710951581020732,0.3030942334739803
fast_screening,GMM_diag,32,9,0.6997391,-0.009717124,0.03068945057991539,0.08169482933739874,0.31575246132208157
fast_screening,KMeans,32,10,0.6997391,0.065047994,0.03507733213909115,0.08749940916916572,0.31645569620253167
fast_screening,GMM_diag,32,10,0.6997391,-0.014473782,0.030105029277602714,0.08789311458522911,0.31575246132208157
fast_screening,KMeans,32,12,0.6997391,0.06639297,0.030538728851485133,0.08658876517455039,0.31926863572433195
fast_screening,GMM_diag,32,12,0.6997391,-0.00968303,0.03272868147679775,0.08876987644323238,0.32559774964838256
fast_screening,KMeans,48,6,0.81514454,0.0456262,0.02321371934850684,0.05107585051825109,0.26652601969057665
fast_screening,GMM_diag,48,6,0.81514454,-0.029473824,0.03996515498087218,0.07180124006546196,0.31856540084388185
fast_screening,KMeans,48,7,0.81514454,0.053626653,0.027066378942688457,0.07348945086202331,0.2876230661040788
fast_screening,GMM_diag,48,7,0.81514454,-0.031165523,0.03027828562172623,0.0739146790897073,0.3143459915611814
fast_screening,KMeans,48,8,0.81514454,0.047920447,0.02477555541248472,0.06804477124680348,0.2812939521800281
fast_screening,GMM_diag,48,8,0.81514454,-0.028687872,0.03060581526199757,0.08092909349659927,0.31575246132208157
fast_screening,KMeans,48,9,0.81514454,0.050375644,0.026125912945735786,0.07623698188215033,0.2869198312236287
fast_screening,GMM_diag,48,9,0.81514454,-0.028825708,0.024720826152161597,0.0788521295732887,0.3333333333333333
fast_screening,KMeans,48,10,0.81514454,0.05255081,0.03133370063259108,0.0828109792598573,0.30450070323488043
fast_screening,GMM_diag,48,10,0.81514454,-0.011113341,0.039098282529683226,0.09517052001462688,0.339662447257384
fast_screening,KMeans,48,12,0.81514454,0.054543916,0.03346940718506779,0.09446836210556092,0.3178621659634318
fast_screening,GMM_diag,48,12,0.81514454,-0.030422617,0.03861927535757572,0.09187428392283041,0.340365682137834
fast_screening,KMeans,64,6,0.89484805,0.04246846,0.030424085878064028,0.055834300905564065,0.279887482419128
fast_screening,GMM_diag,64,6,0.89484805,-0.037253294,0.029176373725968298,0.052270378834890066,0.2848101265822785
fast_screening,KMeans,64,7,0.89484805,0.04045365,0.026095730784327198,0.06456449818162101,0.2721518987341772
fast_screening,GMM_diag,64,7,0.89484805,-0.02733906,0.03355193274443086,0.06579341148823269,0.3129395218002813
fast_screening,KMeans,64,8,0.89484805,0.04517712,0.030500158225273948,0.07134677539906811,0.28973277074542897
fast_screening,GMM_diag,64,8,0.89484805,-0.034430977,0.035941233890936584,0.07906335377318713,0.3234880450070324
fast_screening,KMeans,64,9,0.89484805,0.046032563,0.03540508508518217,0.07927264887344725,0.30028129395218
fast_screening,GMM_diag,64,9,0.89484805,-0.037338592,0.03244483714596519,0.07414112624398077,0.3150492264416315
fast_screening,KMeans,64,10,0.89484805,0.04550597,0.033873912762499674,0.08623232340267968,0.30239099859353025
fast_screening,GMM_diag,64,10,0.89484805,-0.03122002,0.043164357810692035,0.08518340201976787,0.3150492264416315
fast_screening,KMeans,64,12,0.89484805,0.04521039,0.028149249420511765,0.08233399266375409,0.3108298171589311
fast_screening,GMM_diag,64,12,0.89484805,-0.03711572,0.03306764445507173,0.09343849302744885,0.3459915611814346
